player_ranking,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,opponent_name,match_win_loss,match_score
8,2002,Basel,"Basel, Switzerland",2002.10.21 - 2002.10.27,Indoor,Carpet,Martin Verkerk,W,63 63
7,2002,ATP Masters Series Madrid,"Madrid, Spain",2002.10.14 - 2002.10.20,Indoor,Hard,Fabrice Santoro,L,57 36
7,2002,ATP Masters Series Madrid,"Madrid, Spain",2002.10.14 - 2002.10.20,Indoor,Hard,Nicolas Lapentti,W,63 64
7,2002,ATP Masters Series Madrid,"Madrid, Spain",2002.10.14 - 2002.10.20,Indoor,Hard,Marcelo Rios,W,64 62
13,2002,Vienna,"Vienna, Austria",2002.10.07 - 2002.10.13,Indoor,Hard,Jiri Novak,W,64 61 36 64
13,2002,Vienna,"Vienna, Austria",2002.10.07 - 2002.10.13,Indoor,Hard,Carlos Moya,W,62 63
13,2002,Vienna,"Vienna, Austria",2002.10.07 - 2002.10.13,Indoor,Hard,Bohdan Ulihrach,W,63 63
13,2002,Vienna,"Vienna, Austria",2002.10.07 - 2002.10.13,Indoor,Hard,Tommy Robredo,W,62 67(5) 64
13,2002,Vienna,"Vienna, Austria",2002.10.07 - 2002.10.13,Indoor,Hard,Zeljko Krajan,W,75 61
13,2002,Moscow,"Moscow, Russia",2002.09.30 - 2002.10.06,Indoor,Carpet,Marat Safin,L,57 46
13,2002,Moscow,"Moscow, Russia",2002.09.30 - 2002.10.06,Indoor,Carpet,Jarkko Nieminen,W,61 64
13,2002,Moscow,"Moscow, Russia",2002.09.30 - 2002.10.06,Indoor,Carpet,Denis Golovanov,W,60 61
13,2002,MAR v. SUI WG Q,Casablanca,2002.09.16 - 2002.09.22,Outdoor,Clay,Younes El Aynaoui,W,63 62 61
13,2002,MAR v. SUI WG Q,Casablanca,2002.09.16 - 2002.09.22,Outdoor,Clay,Hicham Arazi,W,63 62 61
13,2002,US Open,"New York, NY, U.S.A.",2002.08.26 - 2002.09.08,Outdoor,Hard,Max Mirnyi,L,36 67(5) 46
13,2002,US Open,"New York, NY, U.S.A.",2002.08.26 - 2002.09.08,Outdoor,Hard,Xavier Malisse,W,46 63 64 64
13,2002,US Open,"New York, NY, U.S.A.",2002.08.26 - 2002.09.08,Outdoor,Hard,Michael Chang,W,63 61 63
13,2002,US Open,"New York, NY, U.S.A.",2002.08.26 - 2002.09.08,Outdoor,Hard,Jiri Vanek,W,61 63 46 75
13,2002,Long Island,"Long Island, NY, U.S.A.",2002.08.19 - 2002.08.25,Outdoor,Hard,Nicolas Massu,L,76(5) 16 36
14,2002,ATP Masters Series Cincinnati,"Cincinnati, OH, U.S.A.",2002.08.05 - 2002.08.11,Outdoor,Hard,Ivan Ljubicic,L,62 46 36
10,2002,ATP Masters Series Canada,"Toronto, Canada",2002.07.29 - 2002.08.04,Outdoor,Hard,Guillermo Canas,L,67(10) 57
11,2002,Gstaad,"Gstaad, Switzerland",2002.07.08 - 2002.07.14,Outdoor,Clay,Radek Stepanek,L,63 36 26
11,2002,Gstaad,"Gstaad, Switzerland",2002.07.08 - 2002.07.14,Outdoor,Clay,Hicham Arazi,W,64 63
9,2002,Wimbledon,"London, England",2002.06.24 - 2002.07.07,Outdoor,Grass,Mario Ancic,L,36 67(2) 36
9,2002,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2002.06.17 - 2002.06.23,Outdoor,Grass,Sjeng Schalken,L,63 57 36
9,2002,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2002.06.17 - 2002.06.23,Outdoor,Grass,Ivo Heuberger,W,64 (RET)
9,2002,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2002.06.17 - 2002.06.23,Outdoor,Grass,Richard Krajicek,W,62 75
10,2002,Halle,"Halle, Germany",2002.06.10 - 2002.06.16,Outdoor,Grass,Nicolas Kiefer,L,64 46 46
10,2002,Halle,"Halle, Germany",2002.06.10 - 2002.06.16,Outdoor,Grass,Mikhail Youzhny,W,63 64
10,2002,Halle,"Halle, Germany",2002.06.10 - 2002.06.16,Outdoor,Grass,David Prinosil,W,62 64
10,2002,Halle,"Halle, Germany",2002.06.10 - 2002.06.16,Outdoor,Grass,Hendrik Dreekmann,W,67(5) 63 64
8,2002,Roland Garros,"Paris, France",2002.05.27 - 2002.06.09,Outdoor,Clay,Hicham Arazi,L,36 26 46
14,2002,ATP Masters Series Hamburg,"Hamburg, Germany",2002.05.13 - 2002.05.19,Outdoor,Clay,Marat Safin,W,61 63 64
14,2002,ATP Masters Series Hamburg,"Hamburg, Germany",2002.05.13 - 2002.05.19,Outdoor,Clay,Max Mirnyi,W,64 64
14,2002,ATP Masters Series Hamburg,"Hamburg, Germany",2002.05.13 - 2002.05.19,Outdoor,Clay,Gustavo Kuerten,W,60 16 62
14,2002,ATP Masters Series Hamburg,"Hamburg, Germany",2002.05.13 - 2002.05.19,Outdoor,Clay,Adrian Voinea,W,75 64
14,2002,ATP Masters Series Hamburg,"Hamburg, Germany",2002.05.13 - 2002.05.19,Outdoor,Clay,Bohdan Ulihrach,W,63 60
14,2002,ATP Masters Series Hamburg,"Hamburg, Germany",2002.05.13 - 2002.05.19,Outdoor,Clay,Nicolas Lapentti,W,61 64
11,2002,ATP Masters Series Rome,"Rome, Italy",2002.05.06 - 2002.05.12,Outdoor,Clay,Andrea Gaudenzi,L,46 46
11,2002,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2002.04.15 - 2002.04.21,Outdoor,Clay,David Nalbandian,L,26 16
11,2002,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2002.04.15 - 2002.04.21,Outdoor,Clay,Mariano Zabaleta,W,76(2) 64
14,2002,ATP Masters Series Miami,"Miami, FL, U.S.A.",2002.03.18 - 2002.03.31,Outdoor,Hard,Andre Agassi,L,36 36 63 46
14,2002,ATP Masters Series Miami,"Miami, FL, U.S.A.",2002.03.18 - 2002.03.31,Outdoor,Hard,Lleyton Hewitt,W,63 64
14,2002,ATP Masters Series Miami,"Miami, FL, U.S.A.",2002.03.18 - 2002.03.31,Outdoor,Hard,Andrei Pavel,W,61 61
14,2002,ATP Masters Series Miami,"Miami, FL, U.S.A.",2002.03.18 - 2002.03.31,Outdoor,Hard,Tim Henman,W,62 (RET)
14,2002,ATP Masters Series Miami,"Miami, FL, U.S.A.",2002.03.18 - 2002.03.31,Outdoor,Hard,Albert Portas,W,64 61
14,2002,ATP Masters Series Miami,"Miami, FL, U.S.A.",2002.03.18 - 2002.03.31,Outdoor,Hard,Jeff Morrison,W,61 76(6) 
14,2002,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2002.03.11 - 2002.03.17,Outdoor,Hard,Thomas Enqvist,L,46 36
14,2002,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2002.03.11 - 2002.03.17,Outdoor,Hard,Stefan Koubek,W,64 64
14,2002,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2002.03.11 - 2002.03.17,Outdoor,Hard,Xavier Malisse,W,67(5) 76(3) 63
14,2002,Dubai,"Dubai, U.A.E.",2002.02.25 - 2002.03.03,Outdoor,Hard,Rainer Schuettler,L,36 16
14,2002,Dubai,"Dubai, U.A.E.",2002.02.25 - 2002.03.03,Outdoor,Hard,Adrian Voinea,W,63 64
13,2002,Rotterdam,"Rotterdam, Netherlands",2002.02.18 - 2002.02.24,Indoor,Hard,Nicolas Escude,L,63 67(8) 57
13,2002,Rotterdam,"Rotterdam, Netherlands",2002.02.18 - 2002.02.24,Indoor,Hard,Thomas Enqvist,W,(W/O)
13,2002,Rotterdam,"Rotterdam, Netherlands",2002.02.18 - 2002.02.24,Indoor,Hard,John van Lottum,W,63 64
13,2002,RUS v SUI WG Rd 1,"Moscow, Russia",2002.02.04 - 2002.02.10,Indoor,Clay,Yevgeny Kafelnikov,W,76(6) 61 61
13,2002,RUS v SUI WG Rd 1,"Moscow, Russia",2002.02.04 - 2002.02.10,Indoor,Clay,Marat Safin,W,75 61 62
13,2002,Milan,"Milan, Italy",2002.01.28 - 2002.02.03,Indoor,Carpet,Davide Sanguinetti,L,67(2) 64 16
13,2002,Milan,"Milan, Italy",2002.01.28 - 2002.02.03,Indoor,Carpet,Greg Rusedski,W,76(7) 76(4) 
13,2002,Milan,"Milan, Italy",2002.01.28 - 2002.02.03,Indoor,Carpet,Sargis Sargsian,W,46 63 63
13,2002,Milan,"Milan, Italy",2002.01.28 - 2002.02.03,Indoor,Carpet,Nikolay Davydenko,W,63 67(4) 75
13,2002,Milan,"Milan, Italy",2002.01.28 - 2002.02.03,Indoor,Carpet,Stefan Koubek,W,76(2) 63
12,2002,Australian Open,"Melbourne, Australia",2002.01.14 - 2002.01.27,Outdoor,Hard,Tommy Haas,L,67(3) 64 63 46 68
12,2002,Australian Open,"Melbourne, Australia",2002.01.14 - 2002.01.27,Outdoor,Hard,Rainer Schuettler,W,76(6) 76(5) 64
12,2002,Australian Open,"Melbourne, Australia",2002.01.14 - 2002.01.27,Outdoor,Hard,Attila Savolt,W,62 75 64
12,2002,Australian Open,"Melbourne, Australia",2002.01.14 - 2002.01.27,Outdoor,Hard,Michael Chang,W,64 64 63
13,2002,Sydney,"Sydney, Australia",2002.01.07 - 2002.01.13,Outdoor,Hard,Juan Ignacio Chela,W,63 63
13,2002,Sydney,"Sydney, Australia",2002.01.07 - 2002.01.13,Outdoor,Hard,Andy Roddick,W,76(3) 64
13,2002,Sydney,"Sydney, Australia",2002.01.07 - 2002.01.13,Outdoor,Hard,Marcelo Rios,W,67(2) 76(4) 63
13,2002,Sydney,"Sydney, Australia",2002.01.07 - 2002.01.13,Outdoor,Hard,Xavier Malisse,W,62 64
